아이디,한글,교정된한글,label
  @Flying-Chicken, 아무도 언급을 안해서 한말임, 아무도 언급을 안 해서 한말임,1
  @user-ks1fg7fs6m,아이브라는 그룹 너무 기특함 대기록과 역사를 씀과 동시에 수많은 논란과 구설수에 휘말렸는데 주춤하지 않고 노력해서 발전한 모습으로 돌아오는 거 너무 멋짐,아이브라는 그룹 너무 기특함 대기록과 역사를 씀과 동시에 수많은 논란과 구설수에 휘말렸는데 주춤하지 않고 노력해서 발전한 모습으로 돌아오는 거 너무 멋짐,1
  @luciakim561,리즈 진짜 잘한다 목 관리 잘해서 오래오래 노래 불러줬으면 좋겠음 ,리즈 진짜 잘한다 목 관리 잘해서 오래오래 노래 불러줬으면 좋겠음 ,1
  @user-zi6mv4dc4r,원래 출중했던 멤버들은 실력 증명한것같아서 쾌감 쩔고 가을도 라이브가 많이 늘었음,원래 출중했던 멤버들은 실력 증명한 것 같아서 쾌감 절고 가을도 라이브가 많이 늘었음,1
  @user-fu8uf2ds8o,옆에서 깔아주니까 잘해보이는거임,옆에서 깔아주니까 잘해 보이는 거임,0
  @user-sn7ll1xu4b,그래도 이젠 부르긴함 전에 날리는거 많았는데,그래도 이젠 부르긴 함 전에 날리는 거 많았는데,1
  @Daniellukaborchi,이정도면 쿼크 단위지 나노는 이미 원영이 딸기 때 찍음,이 정도면 쿼크 단위계 나노는 이미 원영이 딸기 때 찍음,0
  @user-fq4qx5ih5e,존나못하는데 장원영 바로 뒤에 있어서 그나마 난,존나못하는데 장원영 바로 뒤에 있어서 그나마 난,0
  @cutejeje,피드백들 보면서 본인들도 고민이 많았을텐데뭔가 정면돌파 하는 느낌이 들어서어린 친구들이 참 대단하다는 생각이 드네요완벽하지는 않아도 필사적인 모습이너무나 감동적이었어요기다린 보람이 있네요 항상 응원할께요,피드백들 보면서 본인들도 고민이 많았을 텐데 뭔가 정면돌파하는 느낌이 들어서어린 친구들이 참 대단하다는 생각이 드네요 완벽하지는 않아도 필사적인 모습이 너무나 감동적이었어요 기다린 보람이 있네요 항상 응원할게요,1
  @ElEl_LOVEs,하 이거 존나게 인정,하 이거 존나게 인정,1
  @user-dd6zc8wt6s,유진이 리즈 정말 잘부른다,유진이 리즈 정말 잘 부른다,1
  @auriha05,진짜 춤추면서 노래하는게 힘들긴 한가보다다리만 안 움직이는 안무여도 목소리가 확 커지네아이돌들 대단해,진짜 춤추면서 노래하는 게 힘들긴 한가 보다 다리만 안 움직이는 안무여도 목소리가 확 커지네 아이돌들 대단해,1
  @user-gz7iw6jq5w,멋진 무대 만드려는 열정이 느껴진다 아이브 너무 사랑함,멋진 무대 만들려는 열정이 느껴진다 아이브 너무 사랑함,1
  @cankh72,리즈가 엠알 에 의지하지 않고 빠짐없이 노래를 열심히 부르는것에서 다른맴버들과 실력차가 느껴진다,리즈가 엠알에 의지하지 않고 빠짐없이 노래를 열심히 부르는 것에서 다른 멤버들과 실력차가 느껴진다,0
  @user-zc8vv2cn4l,잼민아 니가 진짜 리즈팬이면 이런 타멤이랑 비교하는 발언 하는거 아니다 양쪽에 다 실례야,잼민아 네가 진짜 리즈 팬이면 이런 타멤이랑 비교하는 발언하는 거 아니다 양쪽에 다 실례야,1
  @user-ov5hp8mh8b,아다,아다,0
  @user-kb4qx4nwnwoic, 타팬 입장에선 이런 댓글이 잼민이로 보임, 타 팬 입장에선 이런 댓글이 잼인 이로 보임,0
  @Ring__l,뜬금 없어서 쥰내 웃기네 ,뜬금없어서 쥰내 웃기네 ,1
  @STAR-uv2ci,유진리즈는 말할것도 없고 다른 멤버들도 이번에 제대로 보여줘서 너무 좋다,유진 리즈는 말할 것도 없고 다른 멤버들도 이번에 제대로 보여줘서 너무 좋다,1
  @clear_weather,리즈가 곡 퀄리티를 높여주네 유진이는 원래 잘하는거 알고있었고 이서가 열심히하는게 기특하고 이쁘다 그리고 이서 노래 넘 잘해서 또 놀람,리즈가 곡 퀄리티를 높여주네 유진이는 원래 잘하는 거 알고 있었고 이서가 열심히 하는 게 기특하고 이쁘다 그리고 이서 노래 너무 잘해서 또 놀람,1
  @purificationjewelry743,리즈 유진 둘 캐리가최고다진짜,리즈 유진 둘 캐리가 최고다 진짜,1
  @user-zt6bv8sz1p,단체파트 진심 리즈 존재감 미쳤네,단체 파트 진심 리즈 존재감 미쳤네,1
  @user-dg2gv2bj1d,우와 이 고음 파트가 라이브가리즈 님 진짜 버리는 파트 하나 없이 고음은 끝음 처리까지 완벽하고유진 님두 후렴 고음 대박이고이서 님 성량 좋고 저 매력적인 파트 넘 잘 살리심,우와 이 고음 파트가 라이브가 리즈 님 진짜 버리는 파트 하나 없이 고음은 끝을 처리까지 완벽하고 유진 님도 후렴 고음 대박이고 이서 님 성량 좋고 저 매력적인 파트 너무 잘 살리심,1
  @user-es7mt7ig9q,애기가 얼마나 상처 받았으면 몇달 만에 이를 갈고 오냐 이서야 너 진짜 짱이야,아기가 얼마나 상처받았으면 몇 달 만에 이를 갈고 오냐 이서야 너 진짜 최고야,1
  @user-in3bm8qm5h, 이서 레이파트 준비도 많이 못했을텐데 듣고 소름돋음  원영이도 저번에 이서랑 스트로베리문 때매 진짜 이번컴백에서 노래연습만 주구장창 했다는데 이갈고 나온게 보임 몇달만에 앺라에 비해 진짜 잘하는거 같음 이제 라이브도 열심히 하고 기특하다, 이서 레이 파트 준비도 많이 못 했을 텐데 듣고 소름 돋음  원영이도 저번에 이서랑 스트로베리 문 땜에 진짜 이번 컴백에서 노래연습만 주야장천 했다는데 이갈고 나온 게 보임 몇 달 만에 앺라에 비해 진짜 잘하는 거 같음 이제 라이브도 열심히 하고 기특하다,1
  @Ul_7,안유진 왜 이렇게 잘하지 입덕 위기다,안유진 왜 이렇게 잘하지 인덕 위기다,1
  @user-ho9gm5ih6z,이서 자신감 붙었나봐 어제보다 더 잘하고 표정도 훨씬 좋아졌음 리즈는 정말 이번 활동의 발군인거같음,이서 자신감 붙었나 봐 어제보다 더 잘하고 표정도 훨씬 좋아졌음 리즈는 정말 이번 활동의 발군인 거 같음,1
  @user-rm4px6xd8p,이건 인정 이서도 아직 완벽하다까진 아니지만 확실히 자신감 있게 크게크게 라이브 하구 안유진은 원래도 잘했지만 고음 팍팍 더 안정감 있게 올라가고 리즈도 파트 많아서 좋다,이건 인정 이서도 아직 완벽하다까진 아니지만 확실히 자신감 있게 크게 크게 라이브 하구 안유진은 원래도 잘했지만 고음 팍팍 더 안정감 있게 올라가고 리즈도 파트 많아서 좋다,1
  @zxzzx1306,안유진 노래 개늘었다 원래도 나쁘지 않았던 거 같은데 뭔가 지락실 때보다 살도 더 빠지고 자기 관리  실력 관리 쩐다 ,안유진 노래 개 늘었다 원래도 나쁘지 않았던 거 같은데 뭔가 지라고 실 때보다 살도 더 빠지고 자기 관리  실력 관리 쩐다 ,1
  @myjoggottenbaby,요새 아이브 라이브 하는 것만으로도 너무 감사하다 특히 이서가 너무 자랑스러움 유진 리즈는 진짜 말 할 것도 없이 본방 볼 때도 둘 목소리가 가장 잘 들렸고 원영 가을이도 노래 하려고 노력해서 정말 한시름 놓음 노래가 많이 높아서 걱정했는데,요새 아이브 라이브 하는 것만으로도 너무 감사하다 특히 이서가 너무 자랑스러움 유진 리즈는 진짜 말할 것도 없이 본방 볼 때도 둘 목소리가 가장 잘 들렸고 원영 가을이도 노래하려고 노력해서 정말 한시름 놓음 노래가 많이 높아서 걱정했는데,1
  @kiyounkim9088,이서 너무 잘한다,이서 너무 잘한다,1
  @user-vh5qm1wt6t,앵콜라이브 빨리보고싶다 위하자 역대급 라이브,앙코르 라이브 빨리 보고 싶다 위하자 역대급 라이브,1
  @doraemon-cj5io,리즈랑 유진은 잘부르는거 알았는데 이서가 엄청 늘었는데,리즈랑 유진은 잘 부르는 거 알았는데 이서가 엄청 늘었는데,1
  @poeing, 이서 쎄게 잘부른다 착하다춤추면서 이정도 고음이면대박이지, 이서 세게 잘 부른다 착하다 춤추면서 이 정도 고음이면 대박이지,1
  @Rengshui,헐 라이브 잘한다 특히 리즈고음 처리 완전 깔끔해이서도 높은음인데 성량이랑 고음고갓기브 사랑해 레이도 열심히 준비했을텐데 아쉽다그래도 이번활동 잘 끝내길갓기들 사랑해,헐 라이브 잘한다 특히 리즈고 음 처리 완전 깔끔 해이서도 높은 음인데 성량이랑 고음고갓기브 사랑해 레이도 열심히 준비했을 텐데 아쉽다 그래도 이번 활동 잘 끝내길 갔기들 사랑해,1
  @user-tp8zi1zs1m,모든멤버가 라이브 열심히해서 너무좋다,모든 멤버가 라이브 열심히 해서 너무 좋다,1
  @yumyum__s2,이서 음색 성량 쩐다,이서 음색 성량 쩐다,1
  @Bab26269,악플에 정면돌파하는 아이브 멋지다 그와중에 라이브 너무 잘해,악플에 정면돌파하는 아이브 멋지다 그 와중에 라이브 너무 잘해,1
  @jinkyulee8315,라이브 기대 이상이다 그리고 유진 고음파트 미쳤다,라이브 기대 이상이다 그리고 유진 고음 파트 미쳤다,1
  @user-ix8iz4iu9r,리즈 파트 많은께 아주 고냥 날라댕기네 너무 좋아 노래도 잘하고,리즈 파트 많은 게 아주 고냥 날아다니네 너무 좋아 노래도 잘하고,1
  @user-iz7no1or8n,유진 고음  넘 소름 시원하게 지르네 고음부분 다 엠알 처리할줄 알았는데 다 불러버림 역시 아이브 리더답다,유진 고음  너무 소름 시원하게 지르네 고음 부분 다 엠알 처리할 줄 알았는데 다 불러버림 역시 아이브 리더답다,1
  @sein4937,유진님이랑 리즈님은 원래도 미쳤지만 후렴 성량 진짜 대단함 그 높은걸 갠전으로 이서도 진짜 잘한다,유진님이랑 리즈님은 원래도 미쳤지만 후렴 성량 진짜 대단함 그 높은 걸 개인전으로 이서도 진짜 잘한다,1
  @danji_103,리즈유진 고음 진짜 시원하다,리즈 유진 고음 진짜 시원하다,1
  @user-xf1zb7wd5k,와 이서 진짜 잘한다 ,와 이서 진짜 잘한다 ,1
  @user-bg1iv6ge6f,리즈 원래도 잘하는거 알았는데 이번에 더 안정감생기고 라이브도 더 잘하네 음색 너무 좋아,리즈 원래도 잘하는 거 알았는데 이번에 더 안정감 생기고 라이브도 더 잘하네 음색 너무 좋아,1
  @mac-hs1xu,유진이 빌드업 없이 바로 고음 오진다헐옥솔을 그냥 때려버리네,유진이 빌드업 없이 바로 고음 오진다헐옥솔을 그냥 때려버리네,1
  @user-ok6em4nb3b,유진이같은 보이스가 고음 잘해버리는게 진짜 소름 개짜릿함,유진이 같은 보이스가 고음 잘해버리는 게 진짜 소름 개 짜릿함,1
  @user-ne5oe3yr9q,진짜  빌드업도 안하는데 옥솔을 어떻게 바로 올리지 진짜 명창강쥐 안뉴진 너가 짱이야 유진아,진짜  빌드 업도 안 하는데 옥 솔을 어떻게 바로 올리지 진짜 명창 강쥐 안유진 네가 최고야 유진아,1
  @user-yv4fd7ft9e,이서 너무 대견하다 유진 리즈는 진짜 역시는 역시다,이서 너무 대견하다 유진 리즈는 진짜 역시는 역시다,1
  @user-ug5qg7wm8m,파트분배 걍 이대로 가라 이서 노력한게 너무 잘보여서 예쁘다리즈 유진은 뭐 말할것도 없네,파트 분배 그냥 이대로 가라 이서 노력한 게 너무 잘 보여서 예쁘다 리즈 유진은 뭐 말할 것도 없네,1
  @user-ht1jx6gi9e,아이브 데뷔 초떄보다 엄청 늘었음 이번에 고음파트를 유진이랑 리즈 줘서 더 나은거 같음 앞으로도 계속 이렇게 가자 울 애기들,아이브 데뷔 초대보다 엄청 늘었음 이번에 고음 파트를 유진이랑 리즈 줘서 더 나은 거 같음 앞으로도 계속 이렇게 가자 울 아기들,1
  @user-jv6es5wk6o,유진리즈 고음 미쳤다원영이도 음색 개져아,유진 리즈 고음 미쳤다 원영이도 음색 개 져 아,1
  @user-jd1ef8wq4s,유진이 리즈는 잘하는거 알았지만 보면 볼수록 이서 장난아니다,유진이 리즈는 잘하는 거 알았지만 보면 볼수록 이서 장난 아니다,1
  @esfj8969,리즈 유진은 항상 탄탄하게 잘하는데 이서 많이 늘었다,리즈 유진은 항상 탄탄하게 잘하는데 이서 많이 늘었다,1
  @user-ry4nc9ii6i,안유진 혼자 몇 인분을 해내는 거임  진짜 너무 잘한다,안유진 혼자 몇 인분을 해내는 거임  진짜 너무 잘한다,1
  @2_10_7,와 리즈 유진 이서 폼 미쳤다 성량,와 리즈 유진 이서 폼 미쳤다 성량,1
  @DT-fm9bp, 이서파트부터 안유진  고음 대박, 이서 파트부터 안유진  고음 대박,1
  @ppppp795,곡도 메시지도 너무 좋고 노래도 너무 잘 한다 춤추면서 표정연기 하면서 카메라 신경쓰면서 바뀐 동선 커버하면서 아이돌은 아이돌 나름의 음악을 한다고 생각한다 대견하네 진짜 딸뻘보다도 어린데 너무 예쁘고 장해서 하루 종일 보고있음,곡도 메시지도 너무 좋고 노래도 너무 잘 한다 춤추면서 표정연기하면서 카메라 신경 쓰면서 바뀐 동선 커버하면서 아이돌은 아이돌 나름의 음악을 한다고 생각한다 대견하네 진짜 딸뻘보다도 어린데 너무 예쁘고 장해서 하루 종일 보고 있음,1
  @user-ud4op2cr5e,노래가 뭘 잘하는거임,노래가 뭘 잘하는 거임,0
  @ppppp795,잘한다고 해줘요 무슨 콩쿨대회하는 거 아니잖아요 저 정도면 잘하지 애들이 어려서부터 무대 서려고 뼈를 깎아 준비해온 거를 꼭 쟤들 발치에도 못 닿는 애들 투성이고요 스타성이 있으니까 저 치열한 경쟁구도에서도 살아 남는 거고 가창력있는 가수 노래 듣고 싶으면 딴 가수 들으면 되시죠 수잔 보일 들으시면 되겠네,잘한다고 해줘요 무슨 콩쿠르대회하는 거 아니잖아요 저 정도면 잘하지 애들이 어려서부터 무대 서려고 뼈를 깎아 준비해온 거를 꼭 쟤들 발치에도 못 닿는 애들 투성이고요 스타성이 있으니까 저 치열한 경쟁구도에서도 살아남는 거고 가창력 있는 가수 노래 듣고 싶으면 딴 가수 들으면 되시죠 수전 보일 들으시면 되겠네,1
  @user-ud4op2cr5e,이쁘니까 뜨는거조뭐 ,이쁘니까 뜨는 거죠 뭐 ,0
  @user-ud4op2cr5e,이쁘거나 춤만 중요합니다 케이팝은 진정 노래는안보조,이쁘거나 춤만 중요합니다 케이팝은 진정 노래는 안 보존,0
  @user-hy1kk3by2r,후렴 리즈가 자기 파트 아니어도 다 부르네 파트많아진거같아서 좋다,후렴 리즈가 자기 파트 아니어도 다 부르네 파트 많아진 거 같아서 좋다,1
